dimension1, dimension2
1.015981968130471369e+00,9.811285315678592855e-01
1.098981042028896793e+00,9.095453995679356751e-01
9.042673897369686298e-01,9.179843097763947801e-01
9.243935947766729333e-01,1.075347880216379171e+00
8.199478725730278139e-01,9.349411255123459830e-01
9.727560460721590418e-01,1.342203152130884591e+00
1.036213454459445238e+00,1.008202660011890739e+00
1.034602393973555134e+00,6.707179698955854086e-01
8.982207564172445258e-01,1.132895510098427261e+00
5.274623795990034392e-01,3.441933829476209183e-01
1.223098280183085862e+00,1.160441519700466051e+00
8.532489148981836635e-01,8.550704500304948663e-01
1.042780006932576775e+00,9.717685622714680171e-01
1.215159928480949558e+00,1.318674340224841535e+00
1.148713160714127435e+00,1.036230166603743452e+00
1.372137859957262229e+00,1.125835375720584342e+00
7.647412432656195413e-01,1.163074247073652812e+00
1.238046315758871696e+00,1.578451644466989601e+00
1.111303455296418274e+00,9.172502528528782006e-01
8.433296314169724806e-01,9.510891934512993862e-01
9.671308969621613683e-01,1.004255860816360979e+00
1.277036414558814670e+00,1.439944304068397463e+00
1.050368317699956533e+00,1.123326767225933276e+00
9.903774232557892576e-01,1.090926183762191082e+00
7.051738221943300022e-01,1.019451620690788873e+00
1.181247243892758814e+00,1.368226481234167569e+00
9.186224101752247240e-01,9.032915785317238155e-01
8.149324761989618082e-01,6.592532442225034206e-01
8.634174582250355723e-01,9.020773635548574587e-01
1.089942209060907441e+00,8.442209234985460498e-01
8.576819930175316742e-01,1.144994180642619597e+00
8.715047504279912483e-01,8.978963541334977760e-01
1.195569012475621973e+00,1.171502851537761680e+00
7.212041235100610237e-01,6.224460558956670386e-01
1.014103961980895807e+00,1.046054805826207579e+00
9.902020792150755257e-01,1.054068819424029968e+00
8.506279363725450793e-01,9.147862679613423253e-01
1.294347032905686090e+00,1.461913560696925574e+00
8.992913951059174904e-01,6.197961448989655064e-01
7.123799817338916096e-01,9.126936399033424019e-01
1.116204158845654604e+00,1.006043992873929316e+00
8.117734486688847895e-01,8.906260271584282018e-01
7.990117838815211648e-01,5.309326653415556985e-01
7.582343576621985992e-01,6.405832202556074328e-01
7.992699947426882279e-01,8.928594451483834460e-01
9.580403886213285647e-01,9.320304488821887778e-01
1.009128506507122935e+00,9.601898696186159654e-01
7.897950738568754181e-01,6.801712009823392968e-01
1.356978513736350367e+00,1.221615824711946408e+00
1.271042750250018338e+00,1.274632355184030175e+00
1.366801864195499761e+00,1.265556240188348003e+00
8.315694624847528305e-01,5.269266531280266674e-01
9.213158170099563504e-01,1.090763190081390999e+00
1.195192729853204128e+00,1.103444731442388527e+00
1.173457196986585238e+00,1.584629579600730143e+00
1.074925202920667955e+00,1.154729853999922673e+00
1.091044753433504377e+00,6.424993446108160366e-01
9.269873818979029734e-01,7.650563529630127757e-01
1.114772176753001220e+00,1.187526116690906131e+00
1.214988923553950384e+00,1.160487372541985529e+00
1.139278411850255024e+00,1.122468376214893704e+00
1.171174007598012157e+00,1.170330128014152038e+00
1.383123036768011183e+00,1.368413884512790668e+00
1.397058261118085953e+00,1.588853277863320201e+00
9.993330404668100408e-01,1.024342560500361543e+00
1.033596491522165373e+00,1.451225362484841019e+00
8.495011772762084412e-01,4.497741256581991309e-01
1.365781248776048784e+00,1.099088182121304769e+00
9.188468786145260747e-01,8.878229647051189000e-01
7.609084726798089893e-01,8.319918249787878750e-01
1.058927906884745251e+00,1.096907836461176178e+00
7.114098009983611526e-01,8.718448606482203100e-01
1.045452769363238277e+00,1.135204052397343455e+00
9.333081911191256630e-01,7.377796146764490359e-01
9.606404445668668135e-01,1.133185899062618018e+00
6.653222085134402608e-01,7.577776421258581863e-01
1.031412515797992979e+00,9.890527623828517800e-01
7.467984047500343392e-01,5.568870770219656041e-01
9.236901762964109253e-01,7.233017118338074258e-01
8.183128922146222228e-01,6.483398046999396813e-01
8.326737036314764140e-01,9.636795422340478368e-01
1.126248973708160683e+00,1.101649103561773479e+00
8.010414832936355589e-01,5.616764554644239071e-01
7.907012971446443217e-01,4.914994188681238718e-01
1.272804687926374356e+00,1.514986473658721300e+00
8.580847785926172255e-01,1.339976078239704993e+00
1.157554380722015885e+00,1.039276999113147859e+00
1.496837953580959057e+00,1.334176583270588523e+00
1.180705413730364972e+00,1.305387228485623385e+00
1.273587683212234589e+00,1.215185444877241006e+00
9.232057765235159863e-01,7.432350913562559835e-01
1.115098234996543924e+00,1.199189633163084467e+00
1.152082078272859578e+00,1.055696070819081678e+00
3.878710792152535447e-01,3.391280842021314190e-01
1.104314186983910151e+00,1.131726624224192790e+00
1.024721966409481544e+00,1.315872965776701209e+00
9.517140411437247094e-01,8.742438062406173716e-01
1.219681382298737571e+00,1.271624593578827511e+00
1.162875674690587502e+00,1.282539490462083709e+00
8.512473427804744253e-01,7.866422257686105368e-01
1.136501479237666867e+00,1.122226843204047642e+00
1.281856758962410137e+00,1.567776956275983347e+00
1.127279630744032701e+00,1.350166691163340094e+00
1.198407409573070792e+00,1.226781006870425461e+00
1.314864073048577886e+00,1.648276846188496680e+00
7.530761464714403886e-01,5.756457723379311275e-01
1.158560517402172030e+00,8.740816783172300486e-01
1.026594784902733037e+00,1.179756391970875784e+00
6.415063066447457274e-01,4.253522229124171439e-01
1.238720617759951681e+00,1.065007888739564645e+00
9.884195916251167224e-01,1.215096960649586499e+00
9.921472879818548085e-01,1.166683199793650205e+00
5.444927053306729547e-01,6.245526398184597650e-01
9.981699413195279647e-01,1.281267214657880071e+00
1.014044947539394892e+00,9.140192705519012417e-01
1.437271691138529484e+00,1.519088441418509738e+00
1.249195255100390867e+00,1.440936442322067412e+00
1.188307799071389503e+00,1.183699767948632076e+00
1.123326783158246522e+00,1.105966895709446174e+00
1.013540261786109564e+00,9.310616189548126531e-01
9.613665305184990739e-01,1.413521034765225171e+00
6.616496237933633395e-01,7.329384688060045505e-01
1.230226259323265792e+00,1.140932362412050649e+00
1.011167231255543975e+00,1.565327569554975096e+00
1.130801245534499122e+00,1.290161782914055699e+00
1.016539616254399370e+00,1.243328899391331621e+00
1.320179925971210810e+00,1.147234815392853990e+00
7.247803615888950279e-01,1.013286780775019880e+00
1.173151051152619306e+00,1.277768207346887452e+00
6.502391300804721830e-01,4.141982671613084754e-01
7.652610005428159834e-01,8.354293795479097451e-01
7.232637378811503925e-01,7.220684469744074185e-01
1.086593174561283348e+00,1.091117929757213778e+00
8.402972851524611597e-01,1.157177797881177694e+00
1.152175765496361581e+00,7.311499359267723541e-01
9.643254275729311598e-01,1.234541151628248512e+00
8.973785432881732360e-01,1.155021298667871177e+00
1.042555557127297083e+00,1.006467416696572803e+00
1.297963959442643533e+00,1.221809823953722285e+00
5.205091105228594195e-01,3.252630721121289037e-01
1.550550541406371163e+00,1.365220360558442536e+00
8.111623882159753052e-01,4.712141210220059939e-01
1.152313426275565655e+00,1.082752308782202189e+00
8.454402130602098886e-01,7.206558300490373270e-01
8.271060649121354524e-01,9.397679143838300053e-01
9.001782950636758596e-01,6.349807708945995888e-01
9.828590776052885669e-01,1.280160711843387755e+00
1.001999961530336991e+00,5.873349112259825811e-01
9.307098687838041284e-01,8.397634191579419483e-01
1.156879202936768269e+00,1.155748019152442074e+00
1.432578196558504491e+00,1.184555242306888134e+00
1.336038569998163617e+00,1.442398780445316442e+00
1.077322124007389359e+00,1.050586885472449161e+00
1.120199652541107760e+00,1.194710716325771971e+00
9.877724153777271976e-01,9.367227594312351746e-01
8.507414887971253004e-01,8.074569282479993060e-01
9.270947955224815296e-01,6.328794813187531565e-01
8.827770922509958762e-01,9.252781643611357465e-01
1.067133327520087827e+00,1.299675520997324085e+00
1.281501881157295131e+00,1.037156724061765845e+00
1.026606209727274344e+00,9.232676163426348781e-01
7.333170881768338312e-01,6.602565030945811708e-01
9.123620092621224087e-01,4.755118167614568181e-01
9.924103071774271756e-01,9.455765533689600710e-01
8.351987799754709840e-01,8.135941407721174468e-01
8.790360439100095569e-01,1.057795313547728044e+00
1.006926158078324640e+00,1.218227764422848525e+00
1.188867064252749239e+00,1.078944822971397377e+00
7.490556314494813961e-01,5.167370460972953161e-01
1.159438066258847932e+00,9.023270941882578500e-01
9.476925501059485502e-01,8.354725599188860263e-01
1.067664726111603235e+00,1.215019041041656145e+00
6.460590369133776267e-01,1.119445553494649026e+00
9.217836491299813417e-01,1.042237781686502496e+00
7.327710219368642752e-01,5.089319804477656639e-01
9.587800683349464448e-01,9.032046192043012844e-01
8.812539073363511166e-01,8.438315061920973470e-01
9.481796687013240854e-01,5.249825154369280877e-01
9.924411756215355540e-01,9.427856049747843636e-01
8.026829819975118685e-01,6.945859001475667149e-01
1.120729682424626672e+00,1.240003395911357664e+00
9.818716805620020249e-01,1.100088816742605058e+00
1.073627978153714801e+00,1.048159806676181693e+00
1.096817673926379966e+00,1.124511488080536692e+00
1.168935530253661703e+00,1.046962278803876156e+00
8.718467663795974598e-01,1.031166204336870340e+00
9.016121166213950655e-01,8.520079644813183251e-01
9.646816398458899489e-01,1.180564539084486553e+00
9.124417824495136831e-01,1.017044001878007142e+00
1.110857153200466074e+00,1.054884394774324274e+00
1.152387286717990289e+00,1.217628025092039934e+00
9.361569317694626857e-01,7.111156455855904834e-01
1.092143622106297451e+00,9.816014446887024736e-01
7.961014879946239908e-01,8.961443888629256893e-01
1.215745206167154313e+00,1.526506262732334918e+00
8.727440811605176041e-01,1.001903838951526238e+00
7.608797722557145704e-01,1.115731554725353458e+00
