Dimension 1,Dimension 2
0.817564159,-0.035907643
1.118754126,-0.076187134
1.131244468,0.141401613
0.904214381,-0.24204742
0.712347373,-0.243525043
0.746179867,0.023434987
1.172673436,0.079732904
1.209640013,0.043683874
0.955255554,0.040223575
0.74614031,0.033539606
0.718614429,0.02293249
0.955511951,-0.306033055
1.018418246,0.026759157
1.183530511,-0.13397092
1.159273692,-0.02749541
0.919186872,0.001799687
0.916831259,0.168933766
1.257822184,0.110650255
1.105835705,0.024722401
1.238479735,0.346075581
1.104300588,-0.185978236
1.001427677,-0.060637652
1.311392779,0.005753253
1.068405024,0.13250981
0.887923594,-0.107218969
0.946873639,-0.104294101
0.953908845,-0.045880924
1.008675933,0.007780652
1.006627945,0.102181908
0.969705443,-0.088099813
0.96018258,0.088117881
1.064108096,-0.082082099
1.181436208,0.145726788
0.755502696,0.071576509
1.056131363,0.186101719
1.014703064,-0.003033614
1.068153194,-0.026814866
1.070148977,0.096670926
0.65348309,0.139914419
1.076741273,0.06822466
0.951009593,0.122975793
1.29761389,0.038475114
1.01927575,0.01867698
1.037681329,-0.066560127
0.977492045,0.024821741
0.98903226,0.142203162
1.187637868,-0.011552138
0.845531476,-0.183313148
1.062814074,-0.003192469
0.915992354,-0.232647256
0.876239938,-0.094937213
1.166422423,-0.251843374
0.931196822,-0.15883613
1.181254736,-0.068993505
1.346931196,0.085769503
1.017290143,-0.248732524
0.793819375,0.253827064
1.133168409,0.110493998
0.984274229,-0.122404587
0.996377976,-0.070176686
0.806677255,-0.206416934
0.966667877,-0.089053845
0.814193508,-0.222143268
0.863009502,-0.04042091
0.807017117,0.105553572
1.010244861,-0.020762529
0.834091684,0.163940421
1.097618956,0.125394259
1.074314151,0.260093991
1.165201971,0.111423793
1.017721714,0.310135043
0.941431618,-0.013647846
0.892186642,-0.061616789
0.909585272,-0.022625895
1.041956125,0.168352067
1.120485393,-0.134194903
1.119936893,0.128970586
1.01476024,0.061169998
0.503567491,-0.210869534
0.736882991,-0.233526518
1.009741889,-0.022617888
0.785607824,-0.194500914
0.751886582,-0.154471494
0.918786384,0.012385425
1.300847862,0.026794184
0.972876143,0.348091827
1.008711778,-0.197352234
1.134588951,0.008710889
1.011149823,-0.098731587
1.054071907,-0.09944758
1.124341457,0.008223297
0.897874125,0.009928102
0.956041856,-0.039390015
1.088765639,-0.073226
0.938656892,-0.223447356
