Dimension 1,Dimension 2
0.803323385,0.970610692
0.988560695,0.67026152
0.95011835,1.016164442
0.920610102,0.830019941
0.921121329,1.138969102
0.965142027,1.201461553
1.087871981,1.244547871
1.343592352,1.370143787
1.34898392,1.558537951
1.069365599,1.049765751
0.944340694,1.168419084
0.924830582,1.192806687
1.244504327,0.990221867
0.663809906,0.560926198
1.072490723,1.450837562
0.92416148,0.757241245
1.158233718,1.139311221
0.866352133,0.827916472
1.087327219,1.03919225
1.192646603,1.407661003
0.548465872,0.634439088
0.812651112,0.849575405
0.973490465,0.647373387
0.664648338,0.87424219
1.30052644,1.694665717
0.985302053,0.676318059
1.437017625,1.032336895
0.896956535,1.396215264
0.900575297,1.156046697
1.181443318,1.070151651
1.210023583,1.251802492
0.805184037,0.838169346
1.137038676,1.220068874
1.158076238,1.387195595
0.746646701,0.928695613
0.668995204,0.756551612
1.23825518,0.914459232
0.960628458,0.806222443
0.874208922,0.690583608
1.438103858,1.393309818
0.939037672,0.902079745
0.741689266,0.947669137
0.74393252,0.783516788
1.303573843,1.086065081
1.042028103,1.009573568
0.925291662,0.84408976
1.090888795,1.347507219
1.189485783,0.954069488
1.455443924,1.432578049
0.668525301,0.394073682
1.066054662,0.940141297
0.895783174,1.231904365
1.423647889,1.353633767
1.102227583,1.304983587
0.994867917,1.021881553
1.019297552,1.052678886
0.973101511,0.726445193
0.80482415,0.550868417
1.002711987,0.973235308
1.052380231,1.107820251
1.199578021,1.19518771
0.913961245,1.066206499
0.68618691,0.460545297
1.118359931,1.300487007
1.238025845,1.066667993
1.011017258,1.335419301
1.128990733,1.515996431
0.866873264,1.034262427
1.259921286,1.524617692
1.152020704,1.023706243
1.037536507,0.917321031
0.888489523,0.874957944
0.933621585,1.026925773
0.738045257,0.774965703
0.914607077,0.77061079
1.076869461,0.963418276
0.871280597,0.930707747
0.817756613,0.725801903
0.858395806,0.982235051
1.173546374,1.305216382
0.900131217,1.253741027
0.831152794,0.730042093
0.845323922,0.901274624
1.07155152,1.022600435
0.845426961,1.001774054
0.960501457,1.012177089
1.130605316,1.126970197
0.731892121,0.711036763
0.917819161,0.724934259
0.648413395,0.313345811
0.836927987,0.985215715
1.272895046,1.352001205
1.014427039,0.805847119
0.975345241,0.986113681
1.051290779,0.81517641
1.404687033,1.199075354
1.257856185,1.050696788
1.287583142,1.476244576
0.929789542,1.059684721
1.260053218,1.161327118
0.814815074,0.754429044
1.185938936,1.326291381
